CODE	KOREAN_LABEL	ENGLISH_LABEL
M8480/3	점액성 선암종(폐의 M8253/3 제외)	Mucinous adenocarcinoma(except of lung M8253/3)
M8480/6	복막 거짓 점액종	Pseudomyxoma peritonei
M8481/3	점액소-생산 선암종	Mucin-producing adenocarcinoma
M8482/3	위형 점액성 암종	Mucinous carcinoma, gastric type
M8490/3	반지세포 암종	Signet ring cell carcinoma
M8490/6	전이성 반지세포 암종	Metastatic signet ring cell carcinoma
M8500/2	비침윤성 관내 암종, NOS	Intraductal carcinoma, noninfiltrating, NOS
M8500/3	침윤성 관 암종, NOS	Infiltrating duct carcinoma, NOS
M8501/2	비침윤성 면포암종	Comedocarcinoma, noninfiltrating
M8501/3	면포암종, NOS	Comedocarcinoma, NOS
M8502/3	분비성 암종	Secretory carcinoma
M8503/0	관내 유두종	Intraductal papilloma
M8503/2	비침윤성 관내 유두상 선암종	Noninfiltrating intraductal papillary adenocarcinoma
M8503/3	침범을 동반한 관내 유두상 선암종	Intraductal papillary adenocarcinoma with invasion
M8504/0	낭내 유두상 선종	Intracystic papillary adenoma
M8504/2	피막형성형 유두상 암종(갑상선의 M8343/3 제외)	Encapsulated papillary carcinoma(except of thyroid M8343/3)
M8504/3	침범을 동반한 피막형성형 유두상 암종(갑상선의 M8343/3 제외)	Encapsulated papillary carcinoma with invasion(except of thyroid M8343/3)
M8505/0	관내 유두종증, NOS	Intraductal papillomatosis, NOS
M8506/0	유두의 선종	Adenoma of nipple
M8507/2	관내 미세유두상 암종	Intraductal micropapillary carcinoma
M8507/3	유방의 침범성 미세유두상 암종	Invasive micropapillary carcinoma of breast
M8508/3	낭성 과다분비성 암종	Cystic hypersecretory carcinoma
M8509/2	고형 유두상 상피내 암종	Solid papillary carcinoma in situ
M8509/3	침범을 동반한 고형 유두상 암종	Solid papillary carcinoma with invasion
M8510/3	수질성 암종, NOS	Medullary carcinoma, NOS
M8512/3	림프모양 간질을 동반한 수질성 암종	Medullary carcinoma with lymphoid stroma
M8513/3	비정형적 수질성 암종	Atypical medullary carcinoma
M8514/3	결합조직형성형 관 암종	Duct carcinoma, desmoplastic type
M8519/2	다형성 소엽성 상피내 암종	Lobular carcinoma in situ, pleomorphic
M8520/2	소엽성 상피내 암종, NOS	Lobular carcinoma in situ, NOS
M8520/3	소엽성 암종, NOS	Lobular carcinoma, NOS
M8521/3	침윤성 소관성 암종	Infiltrating ductular carcinoma
M8522/2	관내암종 및 소엽성 상피내 암종	Intraductal carcinoma and lobular carcinoma in situ
M8522/3	침윤성 관 및 소엽성 암종	Infiltrating duct and lobular carcinoma
M8523/3	기타 다른 형태를 동반한 혼합 침윤성 관 암종	Infiltrating duct mixed with other types of carcinoma
M8524/3	기타 다른 형태를 동반한 혼합 침윤성 소엽성 암종	Infiltrating lobular mixed with other types of carcinoma
M8525/3	다형성 선암종	Polymorphous adenocarcinoma
M8530/3	염증성 암종	Inflammatory carcinoma
M8540/3	유방의 파제트병	Paget disease, mammary
M8541/3	파제트병 및 유방의 침윤성 관 암종	Paget disease and infiltrating duct carcinoma of breast
M8542/3	유방외의 파제트병(뼈 제외:비신생물성)	Paget disease, extramammary(except of bone: not neoplastic)
M8543/3	파제트병 및 유방의 관내 암종	Paget disease and intraductal carcinoma of breast
M8550/0	포상세포 선종	Acinar cell adenoma
M8550/1	포상세포 종양	Acinar cell tumour
M8550/3	포상세포 암종	Acinar cell carcinoma
M8551/3	포상세포 낭선암종	Acinar cell cystadenocarcinoma
M8552/3	포상-관상, 혼합된 암종	Mixed acinar-ductal carcinoma
M8560/0	혼합 편평세포와 선성 유두종	Mixed squamous cell and glandular papilloma
M8560/3	선편평세포 암종	Adenosquamous carcinoma
M8561/0	선림프종	Adenolymphoma
M8562/3	상피성-근상피성 암종	Epithelial-myoepithelial carcinoma
M8563/0	림프선종	Lymphadenoma
M8570/3	편평상피 화생을 동반한 선암종	Adenocarcinoma with squamous metaplasia
M8571/3	연골성 및 골성 화생을 동반한 선암종	Adenocarcinoma with cartilaginous and osseous metaplasia
M8572/3	방추세포 화생을 동반한 선암종	Adenocarcinoma with spindle cell metaplasia
M8573/3	아포크린성 화생을 동반한 선암종	Adenocarcinoma with apocrine metaplasia
M8574/3	신경내분비 분화를 동반한 선암종	Adenocarcinoma with neuroendocrine differentiation
M8575/3	화생성 암종, NOS	Metaplastic carcinoma, NOS
M8576/3	간모양의 선암종	Hepatoid adenocarcinoma
M8580/0	현미경적 흉선종	Microscopic thymoma
M8580/1	림프모양 간질을 동반한 미세결절성 흉선종	Micronodular thymoma with lymphoid stroma
M8580/3	흉선종, NOS	Thymoma, NOS
M8581/3	A형 흉선종	Thymoma, type A
M8582/3	AB형 흉선종	Thymoma, type AB
M8583/3	B1형 흉선종	Thymoma, type B1
M8584/3	B2형 흉선종	Thymoma, type B2
M8585/3	B3형 흉선종	Thymoma, type B3
M8586/3	흉선 암종, NOS	Thymic carcinoma, NOS
M8587/0	딴곳 과오종성의 흉선종	Ectopic hamartomatous thymoma
M8588/3	흉선-유사 요소를 동반한 방추상피 종양	Spindle epithelial tumour with thymus-like element
M8589/3	갑상선내 흉선 암종	Intrathyroid thymic carcinoma
M8590/0	성기삭-간질성 종양, 양성	Sex cord-stromal tumor, benign
M8590/1	성기삭-생식선 간질성 종양, NOS	Sex cord-gonadal stromal tumour, NOS
M8591/1	불완전 분화된 성기삭-생식선 간질성 종양	Sex cord-gonadal stromal tumour, incompletely differentiated
M8592/1	혼합 형태 성기삭-생식선 간질성 종양	Sex cord-gonadal stromal tumour, mixed forms
M8593/1	소 성기삭 요소를 동반한 간질성 종양	Stromal tumour with minor sex cord elements
M8594/1	혼합된 배아세포-성기삭-간질성 종양, NOS	Mixed germ cell-sex cord-stromal tumor, NOS
M8600/0	난포막종, NOS	Thecoma, NOS
M8600/3	악성 난포막종	Thecoma, malignant
M8601/0	황체화형 난포막종	Thecoma, luteinized
M8602/0	경화성 간질성 종양	Sclerosing stromal tumour
M8610/0	황체종, NOS	Luteoma, NOS
M8620/1	고환의 성인형 과립막 세포 종양	Adult granulosa cell tumor of testis
M8620/3	난소의 성인형 과립막세포 종양	Adult granulosa cell tumor of ovary
M8621/1	과립막세포-난포막세포 종양	Granulosa cell-theca cell tumour
M8622/0	연소성 고환의 과립막세포 종양	Granulosa cell tumor of testis, juvenile
M8622/1	연소성 과립막세포 종양(고환의 M8622/0 제외)	Granulosa cell tumour, juvenile (except of testis M8622/0)
M8623/1	윤상 세관을 가진 성기삭 종양	Sex cord tumour with annular tubules
M8630/0	양성 남성모세포종	Androblastoma, benign
M8630/1	남성모세포종, NOS	Androblastoma, NOS
M8630/3	악성 남성모세포종	Androblastoma, malignant
M8631/0	고분화된 세르톨리-라이디히세포 종양	Sertoli-Leydig cell tumour, well differentiated
M8631/1	중등도 분화형 세르톨리-라이디히세포 종양, NOS	Sertoli-Leydig cell tumour of intermediate differentiation, NOS
M8631/3	소분화된 세르톨리-라이디히세포 종양	Sertoli-Leydig cell tumour, poorly differentiated
M8632/1	기난드로모세포종	Gynandroblastoma
M8633/1	그물모양 세르톨리-라이디히세포 종양	Sertoli-Leydig cell tumour, retiform
M8634/1	이종요소를 가진 중간 분화형 세르톨리-라이디히세포 종양	Sertoli-Leydig cell tumor, intermediate differentiation, with heterologous elements
M8634/3	이종요소를 가진 소분화된 세르톨리-라이디히세포 종양	Sertoli-Leydig cell tumour, poorly differentiated, with heterologous elements
M8640/1	세르톨리세포 종양, NOS	Sertoli cell tumour, NOS
M8640/3	세르톨리세포 암종	Sertoli cell carcinoma
M8641/0	지질축적을 동반한 세르톨리세포 종양	Sertoli cell tumour with lipid storage
M8642/1	대세포 석회화 세르톨리세포 종양	Large cell calcifying Sertoli cell tumour
M8643/1	관내 대세포 유리질화 세르톨리세포 신생물	Intratubular large cell hyalinizing Sertoli cell neoplasia
M8650/0	난소의 라이디히세포 종양, NOS	Leydig cell tumour of ovary, NOS
M8650/1	고환의 라이디히세포 종양, NOS	Leydig cell tumour of testis, NOS
M8650/3	악성 라이디히세포 종양	Leydig cell tumour, malignant
M8660/0	문세포 종양	Hilus cell tumour
M8670/0	난소의 지질세포 종양	Lipid cell tumour of ovary
M8670/3	악성 스테로이드세포 종양	Steroid cell tumour, malignant
M8671/0	부신 잔존물 종양	Adrenal rest tumour
M8680/3	부신경절종, NOS	Paraganglioma, NOS
M8681/3	교감신경성 부신경절종	Sympathetic paraganglioma
M8682/3	부교감신경성 부신경절종	Parasympathetic paraganglioma
M8683/0	신경절세포성 부신경절종	Gangliocytic paraganglioma
M8690/3	중이 부신경절종	Middle ear paraganglioma
M8691/3	대동맥 소체 종양	Aortic body tumor
M8692/3	경동맥 소체 부신경절종	Carotid body paraganglioma
M8693/3	부신외 부신경절종, NOS	Extra-adrenal paraganglioma, NOS
M8700/3	크롬친화세포종, NOS	Pheochromocytoma, NOS
M8710/3	사구맥관육종	Glomangiosarcoma
M8711/0	사구 종양, NOS	Glomus tumour, NOS
M8711/1	사구맥관종증	Glomangiomatosis
M8711/3	악성 사구 종양	Glomus tumour, malignant
M8712/0	사구맥관종	Glomangioma
M8713/0	사구맥관근종	Glomangiomyoma
M8714/0	양성 혈관주위 상피모양 종양	Perivascular epithelioid tumor, benign
M8714/3	악성 혈관주위 상피모양 종양	Perivascular epithelioid tumor, malignant
M8720/0	색소성 모반, NOS	Pigmented naevus, NOS
M8720/2	상피내 흑색종	Melanoma in situ
M8720/3	악성 흑색종(연부의 M9044/3 제외), NOS	Malignant melanoma(except of soft parts M9044/3), NOS
M8721/3	결절성 흑색종	Nodular melanoma
M8722/0	풍선세포 모반	Balloon cell naevus
M8722/3	풍선세포 흑색종	Balloon cell melanoma
M8723/0	달무리 모반	Halo naevus
M8723/3	퇴행성 악성 흑색종	Malignant melanoma, regressing
M8725/0	신경모반	Neuronaevus
M8726/0	거대세포성 모반	Magnocellular naevus
M8727/0	형성이상 모반	Dysplastic naevus
M8728/0	수막성 멜라닌세포증	Meningeal melanocytosis
M8728/1	수막성 멜라닌세포종	Meningeal melanocytoma
M8728/3	수막성 멜라닌종증	Meningeal melanomatosis
M8730/0	비색소성 모반	Nonpigmented naevus
M8730/3	무흑색소성 흑색종	Amelanotic melanoma
M8740/0	이행부 모반, NOS	Junctional naevus, NOS
M8740/3	이행부 모반내 악성 흑색종	Malignant melanoma in junctional naevus
M8741/2	전암성 흑색증, NOS	Precancerous melanosis, NOS
M8741/3	전암성 흑색증내 악성 흑색종	Malignant melanoma in precancerous melanosis
