TYPE	NAME	ABBREVIATION	TERM
4	Surveys	PANEL.SURVEY.HAQ	Health Assessment Questionnaire (HAQ) set
4	Surveys	PANEL.SURVEY.HARK	Humiliation, Afraid, Rape, and Kick (HARK) set
4	Surveya	PANEL.SURVEY.HENDRICH	PANEL.SURVEY.HENDRICH
4	Surveys	PANEL.SURVEY.HHCC	Home Health Care Classification set
4	Surveys	PANEL.SURVEY.HHS	Department of Health and Humsn Services set
4	Surveys	PANEL.SURVEY.HITS	HITS Survey set
4	Surveys	PANEL.SURVEY.HIV-SSC	Signs and Symptoms checklist for persons living with HIV set
4	Surveys	PANEL.SURVEY.IPAQ	International Physical Activity Questionnaire (IPAQ) set
4	Surveys	PANEL.SURVEY.LIV-HIV	Living with HIV set
4	Surveys	PANEL.SURVEY.LKSS	Lysholm Kneww Scoring Scale(LKSS) set
4	Surveys	PANEL.SURVEY.MDS	Minimum Data Set for Nursing Home Resident Assessment and Care Screening set
4	Surveys	PANEL.SURVEY.MEPS	PANEL.SURVEY.MEPS
4	Surveys	PANEL.SURVEY.MFS	Morse Fall Scale set
4	Surveys	PANEL.SURVEY.MLHFQ	Minnesota Living with Heart Failure Questionnaire (MLHFQ) set
4	Surveys	PANEL.SURVEY.MTLHLTH	Mental Health survey set
4	Surveys	PANEL.SURVEY.NEURO	Neurological survey set
4	Surveys	PANEL.SURVEY.NEUROQ	Quality of Life Outcomes in Neurological Disorders (NeuroQol) set
4	Surveys	PANEL.SURVEY.NHANES	National Health and Nutrition Examination Survey (NHANES) set
4	Surveys	PANEL.SURVEY.NICHQ	ADHD Questionnaire panels
4	Surveys	PANEL.SURVEY.NIDA	National Institute on Drug Abuse set
4	Surveys	PANEL.SURVEY.NIH.EMO	NIH Toolbox Emotion Domain panels
4	Surveys	PANEL.SURVEY.NMMDS	Nursing Management Minimum Data set
4	Surveys	PANEL.SURVEY.NORTON	Norton Scale survey set
4	Surveys	PANEL.SURVEY.NSRAS	Neonatal Skin Risk Assessment Scale survey
4	Surveys	PANEL.SURVEY.OASIS	Outcome and Assessment Information Survey set
4	Surveys	PANEL.SURVEY.OMAHA	OMAHA survey set
4	Surveys	PANEL.SURVEY.OPTIMAL	Outpatient Physical Therapy Improvement in Movement a Assessment Log set
4	Surveys	PANEL.SURVEY.ORTHOPEDICS	Oethopedic survey panels
4	Surveys	PANEL.SURVEY.PAS	Patient Activity Scale (PAS) set
4	Surveys	PANEL.SURVEY.PASII	Patient Activity Scale II (PAS-II) set
4	Surveys	PANEL.SURVEY.PCORI	Patient-Centered Outcomes Research Institute (PCORI) set
4	Surveys	PANEL.SURVEY.PCORNET	Patient Centered Outcomes Research Network (PCORnet) Common Data Model (CDM) set
4	Surveys	PANEL.SURVEY.PHQ	Patient Health Questionnaire set
4	Surveys	PANEL.SURVEY.PNDS	Perioperative Nursing Data Set outcomes panel
4	Surveys	PANEL.SURVEY.PROMIS	Patient Reported Outcomes Measurement System set
4	Surveys	PANEL.SURVEY.PROWL	Patient Reported Ourcomes with LASIK sets
4	Surveys	PANEL.SURVEY.QAM	Quality Audit Marker set
4	Surveys	PANEL.SURVEY.QRDA	Quality Health Reporting Document Architecture set
4	Surveys	PANEL.SURVEY.R-OURCOMES	R-Outcomes set
4	Surveys	PANEL.SURVEY.RFC	Residual Functional Capacity set
4	Surveys	PANEL.SURVEY.RMDQ	Roland Morris Disability Questionnaire set
4	Surveys	PANEL.SURVEY.RSS	Ramsay Sedation Scale panel
4	Surveys	PANEL.SURVEY.RUDAS	Rowland Universal Dementia Assessment Scale panel	
4	Surveys	PANEL.SURVEY.SAMHSA	Substance Abuse and Mental Health Services Administration (SAMHSA) set
4	Surveys	PANEL.SURVEY.SDOH	Social determinants of heath set
4	Surveys	PANEL.SURVEY.SEEK	Safe Environtment for Every Kid
4	Surveys	PANEL.SURVEY.SLP	Speech-language pathology(SLP) panels
4	Surveys	PANEL.SURVEY.UNMETHELNEED	PANEL.SURVEY.UNMETHELNEED
4	Surveys	PANEL.SURVEY.USSGFHT	United States Surgeon General Family Health Tool (USSGFHT) set
4	Surveys	PANEL.SURVEY.WELLRX	WellRX Questionnaire set
4	Surveys	PANEL.SURVEY.WHYMPI	PANEL.SURVEY.WHYMPI
4	Surveys	PANEL.TIMP	Test of Infant Motor Performance(TIMP) set
4	Surveys	SURVEY.AAOS	American Academy of Orthopaedic Surgeons (AAOS) survey
4	Surveys	SURVEY.ACT	Asthma Control Test (ACT)
4	Surveys	SURVEY.ADHD	Attention Deficit Hyperactivity Disorder (ADHD)
4	Surveys	SURVEY.ADVAULT	ADVault survey
4	Surveys	SURVEY.AHRQ	Agency for Healthcare Research and Quality (AHRQ) survey
4	Surveys	SURVEY.ALSFRSR	ALS Functional Rating Scale - Revised
4	Surveys	SURVEY.AMNART	American National Adult Reading Test (AmNART)
4	Surveys	SURVEY.BCAT	SURVEY.BCAT
4	Surveys	SURVEY.BDI	Beck Depression Inventory (BDI)
4	Surveys	SURVEY.BPI	Brief Pain Inventory (BPI)
4	Surveys	SURVEY.BRIEF	BRIEF survey
4	Surveys	SURVEY.CARE	Continuity Assessment Record and Evaluation (CARE) survey
4	Surveys	SURVEY.CBS-8	Columbia Behavior Scale for Dementia survey
4	Surveys	SURVEY.CDC	Centers for Disease Control (CDC) survey
4	Surveys	SURVEY.CERNER	Cerner survey
4	Surveys	SURVEY.CESD	Center for Epidemiological Studies Depression (CESD) survey
4	Surveys	SURVEY.CHILD-PUGH	Child-Pugh survey
4	Surveys	SURVEY.CMS	Centers for Medicare & Medicaid Services (CMS) survey
4	Surveys	SURVEY.CNPI	Checklist of Nonverbal Pain Indicators survey
4	Surveys	SURVEY.COOP	Dartmouth Cooperative Functional Status Test (COOP)
4	Surveys	SURVEY.COVID	COVID-19 related survey questions
4	Surveys	SURVEY.CSSRS	Columbia Suicide Severity Rating Scale (CSSRS)
4	Surveys	SURVEY.DAST	Drug Abuse Screening Test (DAST)
4	Surveys	SURVEY.DUKE-AD	Duke Anxiety Depression Scale (DUKE-AD)
4	Surveys	SURVEY.EPDS	Edinburgh Postnatal Depression Scale (EPDS)
4	Surveys	SURVEY.ESRD	End Stage Renal Disease (ESRD) facility survey
4	Surveys	SURVEY.GDS	Geriatric Depression Scale (GDS) survey
4	Surveys	SURVEY.GNHLTH	General Health survey
4	Surveys	SURVEY.GPCOG	General Practitioner Assessment of Cognition (GPCOG)
4	Surveys	SURVEY.HAQ	Health Assessment Questionnaire (HAQ)
4	Surveys	SURVEY.HARK	Humiliation, Afraid, Rape, and Kick (HARK)
4	Surveys	SURVEY.HHS	Department of Health and Human Services (HHS) survey
4	Surveys	SURVEY.HITS	HITS Survey
4	Surveys	SURVEY.HWS	Healthy Weight Summary (HWS)
4	Surveys	SURVEY.IPAQ	International Physical Activity Questionnaire (IPAQ)
4	Surveys	SURVEY.LKSS	Lysholm Knee Scoring Scale survey
4	Surveys	SURVEY.MDS	Minimum Data Set (MDS) for Nursing Home Resident Assessment and Care Screening survey
4	Surveys	SURVEY.MFS	Morse Fall Scale (MFS) survey
