TYPE	NAME	ABBREVIATION	TERM
2	Clinical	PANELEYE	Ophthalmology panels
2	Clinical	PANELFUNCTION	Function order set
2	Clinical	PANELH&P	History & Physical order set
2	Clinical	PANELHL7.CCDA	HL7 Consolidated Clinical Document Architecture set
2	Clinical	PANELIEEE ROSETTA	IEEE Rosetta panels
2	Clinical	PANELIO	Input/Output order set
2	Clinical	PANELMEDS	Medication panel
2	Clinical	PANELNEMSIS	National EMS Information System data set
2	Clinical	PANELNEONAT	Neonatal measures order set
2	Clinical	PANELNIH.COGNITIVE	NIH Toolbox Cognitive Domain panel
2	Clinical	PANELNIH.MOTOR	NIH Toolbox Motor Domain panel
2	Clinical	PANELNIH.SENSORY	NIH Toolbox Sensory Domain panel
2	Clinical	PANELNUTRITION&DIET	Nutrition and dietetics panel
2	Clinical	PANELOB.US	Obstetrical order set
2	Clinical	PANELONCO	Oncology set
2	Clinical	PANELPATIENT SAFETY	Patient safety order set
2	Clinical	PANELPHENX	PhenX Panel
2	Clinical	PANELPHR	Public health record order set
2	Clinical	PANELPULM	Pulmonary order set
2	Clinical	PANELRAD	Radiology order set
2	Clinical	PANELSURG	Surgery panel
2	Clinical	PANELTRAUMA	Trauma panel
2	Clinical	PANELTUMRRGT	Tumor registry order set
2	Clinical	PANELUPDRS	Unified Parkinson's Disease Rating Scale(UPDRS) set
2	Clinical	PANELUS.URO	Urology ultrasound order set
2	Clinical	PANELVACCIN	Vaccination order set
2	Clinical	PANELVITALS	Vital signs order set
2	Clinical	PATIENT SAFETY	Patient safety
2	Clinical	PHENX	PhenX
2	Clinical	PUBLICHEALTH	Public Health
2	Clinical	PULM	Pulmonary ventilator management
2	Clinical	RAD	Radiology
2	Clinical	RESP.ATOM	Respiratory atomic
2	Clinical	RESP.MOLEC	Respiratory molecular
2	Clinical	RESP.TIMED.MOLEC	Respiratory timed molecular
2	Clinical	SKNFLD.MOLEC	Skinfold measurements molecular
2	Clinical	SURG	Surgery
2	Clinical	TRAUMA	Trauma
2	Clinical	TRNSPLNT.ORGAN	Organ transplant
2	Clinical	TUMRRGT	Tumor registry (NAACCR)
2	Clinical	UPDRS	Unified Parkinson's Disease Rating Scale(UPDRS)
2	Clinical	US.URO	Urological ultrasound
2	Clinical	VACCIN	Vaccinations
